numero_chapitre;chapitre;énoncé;nb_sortie;reponse;
1;fonctions;position du graphe par rapport à une tangente pour une fonction convexe;0;Cf est au-dessus de ses tangentes;
1;fonctions;position du graphe par rapport à une corde (=segment) pour une fonction convexe;0;la corde est au dessus de Cf;
1;fonctions;position du graphe par rapport à une tangente pour une fonction concave;0;Cf en dessous de ses tangentes;
1;fonctions;position du graphe par rapport à une corde (=segment) pour une fonction concave;0;Cf au dessus de ses cordes;
1;fonctions;inégalité à n points pour une fonction convexe;0; inégalité de Jensen : ∀(λ₁,..., λₙ) ∈ [0;1] tq  Σₖ₌₁ⁿλₖ = 1, ∀(x₁,..., xₙ) ∈ Df, f(Σₖ₌₁ⁿ λₖ xₖ) ≤ Σₖ₌₁ⁿ λₖ f(xₖ);
1;fonctions;la fonction ln est-elle convexe ? Concave ?;0;Concave car sa dérivée seconde est négative, ou alors comme fonction réciproque d'une fonction convexe (exponentielle);
1;fonctions;une fonction puissance x⟶xⁿ , n ∈ ℤ est-elle convexe ? Concave ? Sur ℝ puis sur ℝ⁺;0;Pour n pair, x⟶xⁿ est convexe sur ℝ⁺ et sur ℝ⁻ et l'est sur ℝ si n ≥ 0. \n Pour n impair, x⟶xⁿ est concave sur ℝ⁻, convexe sur ℝ⁺ mais rien sur ℝ; 
1;fonctions;quelle inégalité a-t-on entre ln(1+x) et x ?;0;;Par analyse de fonction ou par concavité du ln ou par Taylor reste intégral à l'ordre 2 en x=0, on peut démontrer que ∀x ≥ 0, ln(1+x) ≤ x
1;fonctions;quelle inégalité a-t-on entre eˣ et 1+x ?;0;∀x ∈ ℝ, eˣ ≥ 1+x;
1;fonctions;quelle inégalité a-t-on entre sin(x) et x ?;0;∀x ∈ ℝ⁺, sin(x) ≤ x et on a aussi par IAF : ∀x ∈ ℝ, |sin(x)| ≤ |x|;
1;fonctions;comment montrer en pratique qu'une fonction f est convexe ou concave ?;0;En pratique, on vérifie que f est C² et si c'est le cas, on étudie le signe de f''. f est convexe (resp. concave) sur les intervalles où f'' est positive (resp. négative). Si elle n'est que C¹, ... ;
1;fonctions;rapport entre convexité et dérivée d'ordre 1 pour une fonction;0;;
1;fonctions;rapport entre concavité et dérivée d'ordre 2 pour une fonction;0;;
1;fonctions;théorème de Rolle;0;soient a , b ∈ ℝ, a < b, f continue sur [a, b], dérivable sur ]a, b[ , f(a) = f(b) ⟹ ∃ c ∈ ]a, b[, f'(c) = 0;
1;fonctions;TAF;0;soient a , b ∈ ℝ, a < b, f continue sur [a, b], dérivable sur ]a, b[ ⟹ ∃ c ∈ ]a, b[, (f(b) - f(a)) = (b - a)f'(c);
1;fonctions;IAF;0;;
1;fonctions;Taylor-Young;0;;
1;fonctions;Taylor reste intégral;0;;
1;fonctions;inégalité de Taylor Lagrange;0;;
1;fonctions;formule de Leibniz;0; soient f, g ∈ Dⁿ ⊂ Cⁿ , alors le produit est dérivable n fois et (fg)⁽ⁿ⁾ = Σₖ₌₁ⁿ (ₖⁿ)f⁽ᵏ⁾g⁽ⁿ⁻ᵏ⁾ ;
1;fonctions;théorème de la limite de la dérivée;0;;
1;fonctions;Vrai ou faux : pour une fonction f définie sur un intervalle I, alors f est continue en un point intérieur a ssi les limites en a- et a+ sont finies et égales ?;0;;
1;fonctions;pour une fonction f de classe C1 sur un intervalle I, rapport entre monotonie stricte et signe de f' ?;0;;
1;fonctions;DL Arctan(x);0;;
1;fonctions;DL sin(x);0;;
1;fonctions;DL cos(x);0;∀x ∈ 𝟅(0), cos(x) = 1 - x²/2 + x⁴/4! + ... + (-1)ⁿx²ⁿ/(2n)! + o(x²ⁿ) ;
1;fonctions;DL tan(x) à l'ordre 5;0;;
1;fonctions;DL exp(x);0;∀x ∈ 𝟅(0), exp(x) = 1 + x + x²/2 + ... + xⁿ/n! + o(xⁿ);
1;fonctions;DL ch(x);0;∀x ∈ 𝟅(0), ch(x) = 1 + x²/2 + x⁴/4! + ... + x²ⁿ/(2n)! + o(x²ⁿ);
1;fonctions;DL sh(x);0;∀x ∈ 𝟅(0), sh(x) = x + x³/3! + ⋯ + x²ⁿ⁺¹/(2n+1)! + o(x²ⁿ⁺¹);
1;fonctions;DL 1/(1-x);0;∀x ∈ 𝟅(0), 1/(1-x) = 1 + x + x² + ⋯ + xⁿ + o(xⁿ);
1;fonctions;DL 1/(1+x);0;;
1;fonctions;DL ln(1+x);0;;
1;fonctions;DL ln(1-x);0; ln(1 - x) = - x - x²/2 - ... - xⁿ/n + o(xⁿ) ;
1;fonctions;DL (1+x)^α;0;;
1;fonctions;dérivée Arcsin;0;;
1;fonctions;dérivée Arccos;0;;
1;fonctions;dérivée Arctan;0;;
1;fonctions;graphe Arcsin;0;;
1;fonctions;graphe Arccos;0;;
1;fonctions;graphe Arctan;0;;
1;fonctions;linéariser cos²(x);0; ∀x ∈ ℝ cos²(x) = (1 + cos(2x)) / 2;
1;fonctions;linéariser sin²(x);0; ∀x∈ℝ, sin²(x) = (1 - cos(2x))/2;
1;fonctions;exprimer sin(x) à l'aide de t=tan(x/2);0;;
1;fonctions;exprimer cos(x) à l'aide de t=tan(x/2);0;;
1;fonctions;exprimer tan(x) à l'aide de t=tan(x/2);0;;
1;fonctions;sin(a+b)=?;0;sin(a+b) = sin(a)cos(b) - sin(b)cos(a);
1;fonctions;cos(a-b)=?;0;cos(a)cos(b) + sin(a)sin(b);
1;fonctions;cos(2x)=?;0;∀ x ∈ ℝ, cos(2x) = cos²(x) - sin²(x) = 2cos²(x) - 1 = 1 - 2sin²(x);
1;fonctions;sin(2x)=?;0;∀ x ∈ ℝ, sin(2x) = 2cos(x)sin(x);
1;fonctions;relation entre Arctan(x) et Arctan(1/x) ?;0; ∀x∈ℝ*, Arctan(x) + Arctan(1/x) = signe(x) × π/2;
1;fonctions;relation entre Arcsin(x) et Arccos(x) ?;0;;
1;fonctions;linéariser cos(a)cos(b);0;;
1;fonctions;linéariser sin(a)cos(b);0;;
1;fonctions;linéariser sin(a)sin(b);0;;
1;fonctions;factoriser cos(p) + cos(q);0;;
2;suites numériques;Vrai/Faux : Si u_n - u_(n-1) tend vers 0, alors la suite (u_n) converge;0;;
2;suites numériques;comment étudier en pratique une suite récurrente u_(n+1)=f(u_n) ?;0;;
2;suites numériques;définition (avec epsilon) de la convergence d'une suite numérique ;0;;
2;suites numériques;théorème des suites monotones (suites numériques);0;;
2;suites numériques;théorèmes des suites adjacentes;0;;
2;suites numériques;définition des suites adjacentes;0;;
2;suites numériques;définition de deux suites équivalentes;0;;
2;suites numériques;théorème de Bolℤano-Weierstrass (pour les suites numériques);0;;
2;suites numériques;pour une suite numérique, rapport entre convergente et bornée;0;;
2;suites numériques;définition d'une valeur d'adhérence pour une suite;0;;
2;suites numériques;rapport entre la convergence d'une suite (u_n) et celle des sous-suites des termes d'indice pair (u_(2n)) et impair (u_(2n+1));0;;
2;suites numériques;hypothèses raisonnables pour que, si une suite réelle (u_n) converge vers a et si f est une fonction, alors (f(u_n)) converge vers f(a) ?;0;;
3;séries numériques/familles sommables;lien suite-série;0;;
3;séries numériques/familles sommables;Vrai ou faux : Si u_n tend vers 0, la série ∑ u_n converge;0;;
3;séries numériques/familles sommables;Nature de la série ∑ 1/n^α;0;;
3;séries numériques/familles sommables;CNS pour que ∑ qⁿ converge et somme;0;Il faut que |q| < 1 est si tel est le cas alors Σ qⁿ = 1 / (1 - q);
3;séries numériques/familles sommables;formule de Stirling;0;C'est n! ∼ nⁿe⁻ⁿ√(2πn) = (n/e)ⁿ √(2πn);
3;séries numériques/familles sommables;énoncé du théorème comparaison série-intégrale;0;;
3;séries numériques/familles sommables;règle de d'Alembert (séries numériques);0;;
3;séries numériques/familles sommables;énoncé théorème de comparaison séries numériques (avec ≤);0;;
3;séries numériques/familles sommables;énoncé théorème de comparaison séries numériques (avec O);0;;
3;séries numériques/familles sommables;énoncé théorème des séries alternées;0;;
3;séries numériques/familles sommables;équivalent de Hₙ ? (n-me somme partilelle de la série harmonique) Et comment le prouver rapidement ?;0;;
3;séries numériques/familles sommables;nature de la série des ln(n)/n ? Et pourquoi ?;0;;
3;séries numériques/familles sommables;nature de la série des 1/(n*ln(n)) ? Et pourquoi ?;0;;
3;séries numériques/familles sommables;nature de la série des ln(n)/n² ? Et pourquoi ?;0;;
3;séries numériques/familles sommables;définition de la convergence d'une série numérique;0;;
3;séries numériques/familles sommables;définition de la convergence absolue d'une série;0;;
3;séries numériques/familles sommables;exemple d'une série numérique convergente mais pas absolument convergente;0;;
3;séries numériques/familles sommables;sommation des relations de comparaison, cas convergent;0;;
3;séries numériques/familles sommables;sommation des relations de comparaison, cas divergent;0;;
3;séries numériques/familles sommables;produit de Cauchy de deux séries numériques;0;;
3;séries numériques/familles sommables;définition d'une famille sommable de réels positifs;0;;
3;séries numériques/familles sommables;définition d'une famille sommable de nombres réels ou complexes;0;;
3;séries numériques/familles sommables;pour une suite (u_n) réelle ou complexe, condition pour que la famille (u_n) soit une famille sommable;0;;
3;séries numériques/familles sommables;pour une suite (u_n) réelle positive, condition pour que la famille (u_n) soit une famille sommable;0;;
3;séries numériques/familles sommables;théorème de sommation par paquet pour les familles de réels positifs;0;;
3;séries numériques/familles sommables;théorème de sommation par paquet pour les familles de complexes;0;;
4;intégration;primitive de x ⟶ 1/x;0;La fonction x ⟶ ln(x) est une primitive de x ⟶ 1/x;
4;intégration;primitive de x ⟶ 1/(1+x²);0;La fonction x ⟶ Arctan(x) est une primitive de x ⟶ 1/(1+x²);
4;intégration;primitive de x ⟶ 1/sqrt(1-x²);0;La fonction x ⟶ Arrsin(x) est une primitive de x ⟶ 1/sqrt(1 - x²);
4;intégration;définition d'une somme de Riemann d'une fonction;0;;
4;intégration;théorème de convergence des sommes de Riemann  (attention, sommes, pas séries);0;;
4;intégration;rapport entre la classe d'une fonction f et celle d'une de ses primitives F ?;0;;
4;intégration;Compléter l'énoncé : l'intégrale d'une fonction ... est nulle si, et seulement si la fonction est nulle;0;;
4;intégration;théorème fondamental de l'analyse;0; Soient f continue par morceaux sur [a, b] et F une primitive de f, on a ∫ₐᵇf(x)dx = F(b) - F(a);
4;intégration;comment primitiver une fonction avec sqrt(x² + 1) ?;0;;
4;intégration;comment primitiver une fonction avec sqrt(x² - 1) ?;0;;
4;intégration;comment primitiver une fonction avec sqrt(1 - x²) ?;0;;
4;intégration;règles de Bioche ? (en intégration);0;;
4;intégration;formule de changement de variable pour une intégrale sur un segment;0;;
4;intégration;intégration par parties sur un segment;0;;
5;espaces vectoriels normés;définition d'une norme;0;;
5;espaces vectoriels normés;définition d'un ouvert;0;;
