numero_chapitre;chapitre;énoncé;nb_sortie;reponse;
1;Propagation de la lumiere;Célérité de la lumière dans un milieu d'indice de refraction n ;0;v = c/n ;
1;Propagation de la lumiere;longueur d'onde par rapport à la fréquence f de l'onde;0; λ = c/f ;
1;Propagation de la lumiere;Loi de Snell-Descartes (réflexion et réfraction);0; en mesurant les angles par rapport à la normale au dioptre avec i l'angle d'incidence du faisceau, on a pour la réflexion l'angle du rayon réfléchie r = i et pour la réfraction avec n₁ l'indice optique du milieu initial et n₂ l'indice optique de l'autre milieu, on a : n₁ × sin(i₁) = n₂ × sin(i₂);
1;Propagation de la lumiere;Quand est-ce qu'il y a Reflexion totale;0; si n₁ > n2 et i1 > arcsin(n2/n1);
2;Lentille mince;Vergence ?;0;V = - 1/f' (en dioptrie δ);
2;Lentille mince;Formule de Conjugaison de Descartes;0; 1/OA' + 1/OA = 1/OF' et A'B' / AB = OA' / OA;
2;Lentille mince;Formule de Newton ;0;FA × F'A' = - OF'² et A'B' / AB = FO / FA = F'A' / F'O;
2;Lentille mince;Quelle est la définition mathématique du Grossissement (pour une lunette astronomique) ?;0; G = α' / α avec a diametre angulaire de l'objet;
2;Lentille mince;Distance minimal;0;La distance minimale est 4f';
3;Lois de l'électrocinétique. Régime continu;Quelle est la dimension de l'intensité ?;0;La dimension de I est I, son unité l'Ampere : A (= C / s);
3;Lois de l'électrocinétique. Régime continu;Quelle est la puissance et le travail electrique ?;0;P = ui , W = P ⋅ Δt = u ⋅ i ⋅ Δt ;
3;Lois de l'électrocinétique. Régime continu;Quelles sont les hypothèses et la formule pour un pont diviseur de tension;0;Pour une association de résistance en série Rᵢ de tension uᵢ, on a alors uⱼ = (Rⱼ / Σᵢ Rᵢ) ⋅ uₜₒₜ;
3;Lois de l'électrocinétique. Régime continu;Quelles sont les hypothèses et la formule pour un pont diviseur de courant;0;Pour une association de résistance en parallèle (= dérivation) Rᵢ de conductance Gᵢ = 1 / Rᵢ parcourue par une intensité Iᵢ, on a Iⱼ = (Gⱼ / Σᵢ Gᵢ) ⋅ iₜₒₜ;
4;Circuit lineaire du premier ordre;Quelle est la caractéristique d'un condensateur ?;0;i(t) = C du/dt;
4;Circuit lineaire du premier ordre;Quelle est la charge d'un condensateur en fonction de la capacité d'un condensateur et de la tension ?;0; q = Cu ;
4;Circuit lineaire du premier ordre;Quelle est l'énergie stockée dans un condensateur;0;L'énergie Stockée E = 1/2 × C u²;
4;Circuit lineaire du premier ordre;Quelle est la caractéristique d'une bobine ? ;0;C'est : u(t) = L di/dt;
4;Circuit lineaire du premier ordre;Quelle est l'énergie stockée dans une bobine ?;0;1/2 × L i²;
5;Oscillateur en regime libre;Dans quelle type de régime transitoire se place-t-on en fonction de Q;0;Pour Q < 1/2, le régime transitoire est aperiodique,\n Pour Q > 1/2, le régime transitoire est pseudo-periodique,\n Pour Q = 1/2, le régime transitoire est critique;
5;Oscillateur en regime libre;Rappeler la forme générale de l'équation différentielle d'oscillateur harmonique amorti en fonction de ω₀ et Q;0;l'équation différentielle est (E) : d²x/dt² + ω₀/Q ⋅ dx/dt + ω₀² x = 0;
6;propagation d'un signal;Rappeler la forme générale d'une onde qui se propage selon les x croissants;0;C'est : s(x, t) = A cos(ωt- kx + ϕ);
6;propagation d'un signal;période temporelle en fonction de ω ;0;T = 2π / ω;
6;propagation d'un signal;longueur d'onde en fonction de k;0; λ = 2pi / k ;
6;propagation d'un signal;différence de chemin optique trous d'Young ;0;δ(x) = ax/D;
7;Cinematique du point;Expréssion de la vitesse en coordonnées cylindriques;0;le vecteur OM = r eᵣ + z e_z , donc dOM/dt = v = r ⋅ eᵣ + rθ̇  ⋅ e_θ + ż ⋅ e_z ;
7;Cinematique du point;Expression de l'accélération en coordonnées cylindriques;0;l'accélération γ (= a) = (r̈ - rθ̇ ²)eᵣ + (rθ̈  + 2ṙθ̇ )e_ θ + z̈ e_z;
7;Cinematique du point;Expression de la vitesse en coordonnées spheriques;0;ṙ eᵣ + rθ̇  e_θ + rsinθ ϕ̇ eᵩ;
8;Principe de la dynamique;Expression de la Quantité de mouvement ?;0; P = mv ;
8;Principe de la dynamique;Quelle est la 3ᵉ loi de Newton;0;F₁⟶₂ = - F₂⟶₁;
8;Principe de la dynamique;Quelle est l'expression du centre d'inertie G (barycentre) ?;0;G= 1/ mₜₒₜ  ∑ (mᵢ OMᵢ);
8;Principe de la dynamique;Quelle est la 1ᵉʳᵉ loi de Newton ? ;0;tout réferentiel en translation rectiligne uniforme par rapport à un referentiel galileen est galileen;
8;Principe de la dynamique;Quelle est la 2ᵉ loi de Newton ?;0;C'est, ma = ∑Fᵢ;
8;Principe de la dynamique;Quelle est la force de rappel du ressort ?;0;F = - k(l(t) - l0) eᵣ⟶ₚ (le vecteur va de l'accroche au la masse);
8;Principe de la dynamique;Quelle est la force de presion ?;0;f = PS n avec n allant du fluide (liquide, gaz, ...) vers la paroi;
8;Principe de la dynamique;Quelle est la force de frottement fluide ?;0;f = -hv(M) n , n vecteur unitaire tangent de la base de Frenet;
8;Principe de la dynamique;Quelle est la force d'attraction gravitationnelle ?;0;F = - G ⋅ mₐ ⋅ m_b / AB²   eA⟶B;
8;Principe de la dynamique;Quelle est la force d'attraction électrique ?;0;f = qₐq_B / (4πɛ₀⋅AB²)  eA⟶B;
9;Energie mecanique;Quelle est l'expression de la puissance d'une force ?;0;P = f ⋅ V ;
9;Energie mecanique;Quelle est l'expression du Travail élémentaire d'une force ?;0;δW(f) = P(f) dt = F . dOM;
9;Energie mecanique;Quel est le travail d'une force le long d'un arc;0;W(f)A⟶B = ∫ₐᴮ F.dOM;
9;Energie mecanique;Quelle est l'expression de l'énergie cinétique ?;0;E = 1/2 ⋅ m ⋅ v²;
9;Energie mecanique;Quelle est la formule Théorème de l'Energie Cinétique (TEC) ? ;0;dEc/dt = ∑P(f);
9;Energie mecanique;Quelle est l'expression de dEp (en fonction du travail) ? ;0;dEp = -δW(F) ;
9;Energie mecanique;Expression de l'énergie mecanique;0;Em = Ec + Ep ;
9;Energie mecanique;formule du TEM;0;dEₘ/dt = P(Fnc) (Fnc = forces non conservatives);
10;Mouvement dans un champ electrique ou magnétique;Expression de la Force de Lorentz;0;F = q(E + v ^ B);
10;Mouvement dans un champ electrique ou magnétique;Expression de l'énergie potentielle électrostatique;0;Eₚ(M) = qV(M);
10;Mouvement dans un champ electrique ou magnétique;Expression de la Pulsation cyclotron;0;|q|B / m;
10;Mouvement dans un champ electrique ou magnétique;rayon du mouvement d'une particule dans un champ B uniforme;0;R = v₀ / ω₀ = mv₀ / |q|B;
11;Descritpion d'un systeme thermodynamique;Formule des gaz parfait;0;PV = nRT;
12;Premier principe de la thermodynamique;Formule du premier principe ;0;ΔU = W + Q;
12;Premier principe de la thermodynamique;Capacité thermqiue à volume constant;0;ΔU = CᵥΔT;
12;Premier principe de la thermodynamique;Cᵥ pour Gaz parfait monoatomique Et diatomique ;0;Gaz Parfait Monnoatomique : Cᵥ = 3/2 nR et GPD : Cv = 5/2 nR;
